Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Relationship with Student,Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
63,64,9,23,14,D,21,Female,Engaged,0,Bachelor's Degree,High School,Aunty,Yes,2,Poor,Reading,Moderate,2,No
79,79,15,20,49,A,19,Male,Married,0,High School,College,Mother,Yes,3,Average,Socializing,Moderate,1,No
70,70,16,9,20,D,25,Male,Married,3,College,High School,Father,Yes,3,Poor,Socializing,Low,4,No
80,78,25,8,18,C,22,Male,Single,0,Bachelor's Degree,High School,Aunty,No,2,Average,Watching TV,High,1,Yes
99,98,14,18,33,B,21,Male,Engaged,0,College,High School,Father,No,1,Average,Socializing,High,6,Yes
78,77,15,22,28,B,20,Female,Engaged,0,Master's Degree,Master's Degree,Mother,No,8,Good,Reading,Low,6,Yes
91,89,22,20,40,A,21,Female,Single,0,Doctorate,Master's Degree,Brother,No,8,Average,Sports,High,7,Yes
81,78,14,25,32,A,23,Female,Married,4,Bachelor's Degree,High School,Uncle,No,3,Good,Sports,Low,3,No
93,84,13,19,44,A,18,Female,Engaged,0,Doctorate,High School,Mother,No,1,Good,Reading,Moderate,4,Yes
84,87,14,16,30,B,20,Male,Engaged,0,High School,Bachelor's Degree,Father,No,0,Average,Sports,Moderate,5,No
97,83,9,10,50,B,25,Male,Engaged,0,High School,High School,Aunty,Yes,9,Poor,Sports,High,3,No
88,78,17,8,30,C,22,Female,Engaged,0,College,College,Aunty,Yes,9,Poor,Sports,Low,7,No
76,89,9,8,41,C,21,Male,Engaged,0,Master's Degree,Bachelor's Degree,Sister,No,6,Poor,Socializing,Moderate,5,Yes
65,70,14,10,20,D,24,Female,Married,1,Doctorate,Master's Degree,Mother,Yes,4,Poor,Sports,High,0,No
70,60,10,21,16,D,25,Female,Single,0,High School,College,Brother,No,9,Poor,Sports,Moderate,4,Yes
69,69,14,9,22,D,20,Female,Engaged,0,Master's Degree,College,Brother,No,8,Average,Sports,Low,4,No
77,84,14,14,49,A,21,Male,Married,2,College,High School,Uncle,No,8,Average,Reading,Moderate,7,No
67,60,18,9,14,D,21,Male,Married,2,Master's Degree,Doctorate,Uncle,No,2,Average,Reading,Low,7,Yes
85,82,23,20,43,A,25,Male,Engaged,0,Master's Degree,High School,Sister,No,4,Poor,Socializing,Moderate,2,Yes
82,89,17,16,23,C,21,Male,Engaged,0,High School,Bachelor's Degree,Brother,No,1,Average,Reading,Low,7,No
93,97,15,11,35,B,18,Female,Married,2,Bachelor's Degree,Doctorate,Sister,Yes,3,Average,Watching TV,Moderate,7,Yes
93,88,22,8,23,C,23,Male,Single,0,High School,Bachelor's Degree,Brother,Yes,9,Poor,Sports,Moderate,3,Yes
97,99,21,25,26,A,24,Male,Engaged,0,Bachelor's Degree,High School,Father,Yes,7,Poor,Sports,High,0,No
81,86,18,24,39,A,25,Female,Married,0,College,Doctorate,Mother,No,6,Average,Socializing,High,4,No
83,75,15,16,50,A,23,Female,Engaged,0,Master's Degree,High School,Brother,Yes,8,Poor,Sports,Moderate,0,No
79,93,20,19,32,A,25,Female,Engaged,0,Doctorate,College,Brother,Yes,1,Average,Reading,Moderate,0,No
89,84,18,12,50,A,25,Female,Single,0,College,Doctorate,Mother,No,3,Good,Watching TV,Moderate,4,No
88,89,11,20,28,C,18,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Father,Yes,0,Average,Reading,Moderate,6,No
85,82,23,21,25,B,18,Male,Single,0,Bachelor's Degree,Doctorate,Father,No,2,Good,Watching TV,Low,3,Yes
85,98,25,10,32,B,18,Female,Engaged,0,College,High School,Mother,Yes,3,Average,Reading,Low,3,Yes
73,66,15,10,9,E,23,Male,Married,2,Master's Degree,Bachelor's Degree,Sister,Yes,2,Average,Watching TV,Moderate,4,Yes
89,86,10,16,41,B,20,Male,Married,1,Bachelor's Degree,College,Sister,No,5,Poor,Sports,High,3,Yes
65,70,25,9,9,D,24,Male,Engaged,0,College,Bachelor's Degree,Brother,Yes,7,Good,Socializing,High,6,No
98,99,14,20,42,A,24,Female,Married,3,Bachelor's Degree,Master's Degree,Sister,No,0,Poor,Reading,High,3,No
87,96,12,20,18,C,22,Male,Single,0,College,Doctorate,Uncle,No,6,Poor,Sports,High,7,Yes
84,87,23,25,21,B,22,Male,Married,3,Doctorate,High School,Brother,Yes,4,Average,Watching TV,Moderate,7,Yes
92,81,25,13,23,B,21,Female,Married,3,College,College,Sister,Yes,6,Poor,Reading,High,6,No
80,88,13,25,21,C,18,Female,Single,0,Doctorate,Doctorate,Uncle,No,1,Poor,Socializing,High,6,Yes
78,92,24,25,47,A,21,Male,Engaged,0,Master's Degree,Doctorate,Aunty,No,0,Poor,Sports,Moderate,5,No
82,92,24,19,33,A,22,Male,Single,0,Bachelor's Degree,High School,Aunty,No,1,Poor,Watching TV,Moderate,2,Yes
82,98,10,23,44,A,21,Male,Engaged,0,College,Bachelor's Degree,Brother,No,8,Average,Socializing,Moderate,6,Yes
76,89,16,10,37,B,21,Male,Engaged,0,High School,High School,Aunty,No,7,Average,Reading,Moderate,7,No
93,86,12,13,29,C,23,Male,Engaged,0,Master's Degree,Master's Degree,Mother,No,2,Poor,Reading,High,5,Yes
90,82,9,24,42,A,21,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Sister,Yes,5,Average,Sports,Moderate,1,No
88,87,17,10,35,B,19,Female,Married,2,College,Bachelor's Degree,Sister,Yes,8,Average,Reading,High,2,Yes
91,85,17,22,40,A,22,Female,Single,0,College,College,Father,No,5,Poor,Reading,Low,5,Yes
80,94,15,13,29,C,19,Male,Single,0,College,Master's Degree,Aunty,No,0,Good,Sports,Low,4,No
67,65,10,14,23,D,22,Female,Engaged,0,College,Master's Degree,Mother,Yes,9,Good,Sports,High,0,No
90,80,17,24,15,C,18,Female,Single,0,Bachelor's Degree,Doctorate,Father,Yes,9,Poor,Sports,Moderate,5,Yes
66,71,22,10,16,D,23,Female,Married,2,Doctorate,College,Aunty,No,5,Good,Sports,Low,0,No
75,62,9,10,17,E,22,Male,Single,0,High School,College,Uncle,No,5,Poor,Reading,Moderate,1,Yes
95,76,17,23,44,A,24,Male,Married,4,High School,Master's Degree,Uncle,Yes,0,Good,Watching TV,Low,0,Yes
83,91,21,17,37,A,24,Female,Engaged,0,College,Master's Degree,Aunty,Yes,9,Poor,Watching TV,High,5,Yes
86,98,13,21,20,C,24,Female,Engaged,0,Bachelor's Degree,Doctorate,Uncle,No,6,Good,Watching TV,Moderate,2,No
61,73,9,22,16,D,22,Female,Single,0,Bachelor's Degree,Master's Degree,Father,No,9,Average,Socializing,High,5,No
77,77,11,19,22,C,22,Female,Single,0,Doctorate,Bachelor's Degree,Sister,No,0,Good,Reading,High,2,No
99,75,9,25,36,A,23,Female,Married,4,High School,Master's Degree,Father,No,0,Poor,Sports,High,2,Yes
94,95,18,11,50,A,18,Male,Single,0,Master's Degree,Master's Degree,Brother,No,2,Good,Socializing,Moderate,7,Yes
89,76,11,9,38,C,25,Male,Married,0,Bachelor's Degree,College,Mother,No,8,Average,Watching TV,Moderate,5,Yes
75,65,8,20,19,D,20,Female,Engaged,0,Master's Degree,Doctorate,Aunty,Yes,9,Average,Reading,Low,0,Yes
70,65,9,14,26,D,25,Male,Engaged,0,College,College,Sister,No,5,Poor,Reading,High,3,Yes
87,98,19,16,44,A,25,Male,Engaged,0,College,College,Sister,No,9,Poor,Watching TV,Low,5,No
75,92,9,15,43,B,22,Male,Single,0,College,College,Father,Yes,9,Poor,Sports,Low,0,No
93,99,13,12,40,B,19,Male,Engaged,0,Bachelor's Degree,High School,Brother,No,8,Good,Socializing,Moderate,6,No
88,83,14,20,30,B,19,Male,Single,0,Doctorate,Master's Degree,Brother,Yes,4,Average,Sports,Low,1,Yes
83,75,16,17,26,C,19,Male,Engaged,0,High School,Bachelor's Degree,Mother,No,4,Poor,Reading,Low,6,Yes
81,77,22,15,44,A,25,Male,Single,0,High School,Bachelor's Degree,Aunty,Yes,2,Average,Reading,Moderate,7,Yes
93,75,25,20,30,A,24,Female,Married,0,Doctorate,Master's Degree,Aunty,No,6,Poor,Socializing,Moderate,4,Yes
92,90,15,9,32,C,23,Female,Engaged,0,College,High School,Brother,Yes,4,Good,Reading,High,2,Yes
68,66,21,12,8,D,19,Male,Single,0,Master's Degree,High School,Sister,Yes,0,Poor,Watching TV,Moderate,2,No
82,86,10,12,43,B,21,Male,Engaged,0,Master's Degree,College,Aunty,Yes,3,Poor,Watching TV,Moderate,6,No
75,81,18,16,26,B,25,Male,Married,2,Bachelor's Degree,College,Brother,No,3,Poor,Watching TV,Moderate,0,Yes
87,80,8,19,48,A,24,Male,Single,0,Master's Degree,Master's Degree,Brother,No,2,Good,Socializing,High,6,Yes
61,64,13,18,9,D,23,Female,Engaged,0,Master's Degree,Bachelor's Degree,Mother,Yes,0,Poor,Socializing,High,7,No
90,78,16,25,41,A,22,Female,Single,0,Doctorate,High School,Brother,No,0,Poor,Socializing,High,7,Yes
82,95,24,13,28,B,25,Female,Married,2,Bachelor's Degree,Doctorate,Aunty,No,2,Poor,Socializing,Low,3,No
91,79,14,18,40,A,20,Female,Engaged,0,College,College,Mother,Yes,2,Average,Watching TV,Low,2,No
79,84,9,16,32,C,21,Female,Married,2,College,High School,Uncle,Yes,5,Poor,Socializing,Moderate,0,Yes
98,89,24,11,39,A,23,Female,Single,0,Doctorate,Master's Degree,Sister,Yes,4,Good,Socializing,High,6,Yes
88,83,25,17,19,B,18,Male,Engaged,0,College,High School,Sister,No,5,Poor,Watching TV,High,0,Yes
83,85,24,25,35,A,18,Female,Single,0,Doctorate,Bachelor's Degree,Father,No,8,Average,Reading,Moderate,2,Yes
89,79,14,14,24,C,24,Male,Married,4,Master's Degree,Master's Degree,Aunty,No,5,Average,Reading,Moderate,7,No
62,65,9,13,18,D,25,Female,Married,0,Bachelor's Degree,Doctorate,Father,Yes,2,Poor,Reading,Moderate,0,No
81,98,17,17,49,A,21,Female,Single,0,Bachelor's Degree,High School,Father,No,2,Good,Socializing,Low,6,Yes
96,94,8,23,44,A,23,Male,Single,0,Master's Degree,Doctorate,Mother,Yes,9,Poor,Sports,Low,6,No
96,87,23,13,37,A,21,Male,Engaged,0,Bachelor's Degree,College,Aunty,No,9,Average,Watching TV,Low,0,Yes
95,87,21,19,12,C,23,Male,Single,0,College,High School,Brother,No,4,Good,Socializing,Low,3,No
97,79,19,18,34,A,21,Male,Engaged,0,Bachelor's Degree,College,Aunty,Yes,4,Good,Watching TV,Low,3,No
94,97,19,18,48,A,20,Male,Single,0,Doctorate,Bachelor's Degree,Aunty,No,6,Poor,Reading,Moderate,5,Yes
96,98,21,11,44,A,25,Female,Married,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,7,Average,Reading,Moderate,4,Yes
75,74,11,13,19,D,21,Male,Married,2,High School,Master's Degree,Father,Yes,3,Poor,Socializing,Low,3,No
90,84,24,24,42,A,22,Male,Married,4,Bachelor's Degree,Doctorate,Sister,Yes,9,Average,Reading,High,4,No
72,71,18,19,11,D,19,Female,Married,5,Bachelor's Degree,College,Uncle,Yes,6,Poor,Sports,Low,3,No
64,74,15,12,16,D,23,Female,Engaged,0,High School,Master's Degree,Father,No,5,Good,Watching TV,High,2,No
76,75,24,11,41,A,19,Female,Single,0,College,Bachelor's Degree,Father,No,9,Good,Socializing,High,0,No
75,84,10,21,46,A,19,Female,Single,0,Doctorate,College,Uncle,Yes,8,Good,Socializing,Low,7,Yes
89,87,9,8,50,B,25,Male,Single,0,Doctorate,College,Aunty,Yes,4,Average,Socializing,High,0,Yes
95,80,21,10,47,A,24,Male,Single,0,Bachelor's Degree,Doctorate,Aunty,No,6,Good,Reading,High,5,No
93,86,19,24,13,C,25,Female,Married,4,Master's Degree,High School,Mother,No,5,Poor,Watching TV,Moderate,7,Yes
94,82,21,9,25,C,18,Male,Single,0,Master's Degree,Bachelor's Degree,Father,Yes,6,Poor,Socializing,High,0,No
69,64,25,11,12,D,18,Female,Engaged,0,Master's Degree,High School,Brother,Yes,8,Poor,Socializing,Moderate,2,No
94,95,25,18,23,B,23,Female,Single,0,Master's Degree,High School,Mother,No,4,Average,Sports,Moderate,4,No
71,67,17,16,10,D,20,Male,Engaged,0,Bachelor's Degree,High School,Sister,Yes,2,Poor,Reading,High,2,No
82,80,24,25,25,A,19,Male,Single,0,High School,Doctorate,Brother,No,5,Good,Watching TV,Moderate,3,No
72,65,11,21,17,D,19,Female,Engaged,0,Doctorate,College,Brother,Yes,8,Poor,Socializing,Low,4,No
88,76,23,23,43,A,18,Female,Engaged,0,Bachelor's Degree,College,Aunty,No,2,Average,Reading,Low,4,No
75,85,21,16,44,A,20,Female,Engaged,0,Doctorate,Master's Degree,Uncle,Yes,0,Poor,Watching TV,Low,6,Yes
77,84,20,13,44,A,23,Male,Married,2,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,6,Average,Watching TV,Low,4,No
96,79,12,20,19,C,24,Male,Engaged,0,High School,High School,Mother,Yes,9,Poor,Reading,Low,7,Yes
96,77,11,23,47,A,22,Male,Engaged,0,Master's Degree,Master's Degree,Aunty,Yes,6,Good,Sports,High,0,Yes
71,64,18,11,13,D,20,Female,Single,0,Bachelor's Degree,Doctorate,Brother,No,4,Average,Sports,Low,5,Yes
68,67,18,9,17,D,22,Female,Engaged,0,Doctorate,Doctorate,Brother,No,7,Poor,Socializing,Low,4,Yes
72,68,8,8,18,E,24,Male,Engaged,0,High School,College,Brother,Yes,2,Poor,Watching TV,Moderate,5,Yes
99,98,18,24,42,A,24,Male,Single,0,Master's Degree,Doctorate,Uncle,Yes,2,Poor,Sports,Moderate,7,No
75,82,16,12,40,B,20,Female,Single,0,Master's Degree,College,Brother,Yes,4,Average,Reading,Moderate,3,No
